participant_id,full_name
par_01hqmkr2dse5493v5fdhwhzz9p,Florida International Panthers
par_01hqmkr2dtfmh82gmjkbn6r8d6,Florida State Seminoles
par_01hqmkr2dvefdvy376paskcdkr,Fordham Rams
par_01hqmkr2dwf4kasz5jvn0fs6ra,Fresno State Bulldogs
par_01hqmkr2dxew9t78n8bm9czh9p,Furman Paladins
par_01hqmkr2dyfjss9w5xk13hcx2a,Gardner-Webb Runnin Bulldogs
par_01hqmkr2dzf79tw1asv917p1kp,Georgetown Hoyas
par_01hqmkr2e0fdnsz5qjew534wzk,Georgia Bulldogs
par_01hqmkr2e1ffhr0m9r3vzjbjy0,Georgia Southern Eagles
par_01hqmkr2e2fbzsjjy474ewkjpb,Georgia State Panthers
par_01hqmkr2e3f3n8g4gmy8pep3g8,Georgia Tech Yellow Jackets
par_01hqmkr2e4f0trdgdczdpyddez,Grambling State Tigers
par_01hqmkr2e5egfbr6cc8gxyn6pm,Hampton Pirates
par_01hqmkr2e6fj990gpt4041ypax,Harvard Crimson
par_01hqmkr2e7e5a91h224g38aq9t,Hawaii Rainbow Warriors
par_01hqmkr2e8febvtbggyfzr5wgd,Holy Cross Crusaders
par_01hqmkr2e9f7zbfb8eh8mcvwx6,Houston Baptist Huskies
par_01hqmkr2eafjc8fyjt3nc46jm6,Houston Cougars
par_01hqmkr2ebej9at01z1gdb7bxt,Howard Bison
par_01hqmkr2ecfsh8t76zgtvf55n2,Idaho State Bengals
par_01hqmkr2edetw86k78zfgncq7w,Idaho Vandals
par_01hqmkr2eee76vxcwh2mf75zzx,Illinois Fighting Illini
par_01hqmkr2efe39v0k4hvhm2rwaf,Illinois State Redbirds
par_01hqmkr2egepr83jrhatgmzzbb,Incarnate Word Cardinals
par_01hqmkr2ehfd4bpnzmpm1ygq6p,Indiana Hoosiers
par_01hqmkr2eje2jrgdma3mz3qa2g,Indiana State Sycamores
par_01hqmkr2ekfzhv5g5h9dnnvx73,Iowa Hawkeyes
par_01hqmkr2emes5vxzykx0a0e99m,Iowa State Cyclones
par_01hqmkr2ene508x3th02sy83ag,Jackson State Tigers
par_01hqmkr2epecz9x8jt8fz9qj2a,Jacksonville State Gamecocks
par_01hqmkr2eqf848wxa2trbq4qry,James Madison Dukes
par_01hqmkr2erf7m91xyt5v9m9e4y,Johnson C Smith Golden Bulls
par_01hqmkr2ese0mb62xv3znvs752,Kansas Jayhawks
par_01hqmkr2etftfsmwpa3s87tmex,Kansas State Wildcats
par_01hqmkr2eve1e9mhwph4jh3r63,Kennesaw State Owls
par_01hqmkr2ewfhdrsbemcmskb2n0,Kent State Golden Flashes
par_01hqmkr2exfzbs97zh9r0bhzyh,Kentucky State University Thorobreds
par_01hqmkr2eyew3t5xv5afre6s8r,Kentucky Wildcats
par_01hqmkr2ezea4rys5kv4b2ae33,LIU Sharks
par_01hqmkr2f0etjr70y0vrjjrcdx,LSU Tigers
par_01hqmkr2f1fz0trq3fhqn170d5,Lafayette Leopards
par_01hqmkr2f2epxsfnr0pm0capwq,Lamar Cardinals
par_01hqmkr2f3emtr7pv1y1xg34za,Lehigh Mountain Hawks
par_01hqmkr2f4efktw3c1xrkmzw0h,Liberty Flames
par_01hqmkr2f5fsy84b8f37128a31,Lindenwood Lions
par_01hqmkr2f6fyxbqqjpngmae1qn,Louisiana Ragin Cajuns
par_01hqmkr2f7ey7rvpa8hszjqs8d,Louisiana Tech Bulldogs
par_01hqmkr2f8fdcahme30st5637r,Louisville Cardinals
par_01hqmkr2f9ej7br1c42kv6v781,Maine Black Bears
par_01hqmkr2fae16apgfdgxw6vgn3,Marist Red Foxes
par_01hqmkr2fbfcevjpy984k1y1hx,Marshall Thundering Herd
par_01hqmkr2fce9wsn7qcnftpv68f,Maryland Terrapins
par_01hqmkr2fdee2vgyrrzcrg8maj,McNeese State Cowboys
par_01hqmkr2fee3rv7s3774b7w5d4,Memphis Tigers
par_01hqmkr2fff3qrb394ezhgx6hs,Mercer Bears
par_01k3strm8berev22zdgx02cajv,Mercyhurst Lakers
par_01hqmkr2fgen8shrgt3gyn1tbv,Merrimack Warriors
par_01hqmkr2fhe0jvdah7p7q02sr5,Miami (OH) RedHawks
par_01hqmkr2fjfhzb1344050dr84y,Miami Hurricanes
par_01hqmkr2fkejfvybbs6p8a87dy,Michigan State Spartans
par_01hqmkr2fmf8h9avy0nd5zgjrf,Michigan Wolverines
par_01hqmkr2fnev9rp66k21jxh2e0,Middle Tennessee Blue Raiders
par_01hqmkr2fpfrs91wegchm2r67z,Minnesota Golden Gophers
par_01j6gp5dz7f618ccn1rfm4gtb3,Minnesota State Mavericks
par_01hqmkr2fqf22bhnwmdhd2kjn8,Mississippi State Bulldogs
par_01hqmkr2frfsqr160e8zwmp0ym,Mississippi Valley State Delta Devils
par_01hqmkr2fsf1m96j5v7yymj6ns,Missouri State Bears
par_01hqmkr2ftf7ct4q4bfphcqc6g,Missouri Tigers
par_01hqmkr2fvfp8rp7j1gtpsnrbb,Monmouth Hawks
par_01hqmkr2fwe49bav2mwm4ardqj,Montana Grizzlies
par_01hqmkr2fxe4h9p02m0n9tk2rx,Montana State Bobcats
par_01hqmkr2fyeqkvpydz3jfvh9jd,Morehead State Eagles
par_01hqmkr2fzftn97s032x1k67n3,Morgan State Bears
par_01hqmkr2g0ehxvzbgc0ayzr64c,Murray State Racers
par_01hqmkr2g1f4q9v66kkva1962s,NC State Wolfpack
par_01hqmkr2g2eygsv3p1t3p53h2z,Navy Midshipmen
par_01hqmkr2g3evyvxb2wp1p1zwhv,Nebraska Cornhuskers
par_01hqmkr2g4fg0vhx9fyv2jx6yd,Nevada Wolf Pack
par_01hqmkr2g5fwbsby1q63yj42sm,New Hampshire Wildcats
par_01k3wnpcrveq6a6mz945sadr4j,New Haven Chargers
par_01hqmkr2g6en3av2hyczzpmdvh,New Mexico Lobos
par_01hqmkr2g7fvw8ks932hwvefxk,New Mexico State Aggies
par_01hqmkr2g8f6z8n7ny9pxdt2rb,Nicholls State Colonels
par_01hqmkr2g9f7vs5kb134z25qj4,Norfolk State Spartans
par_01j6gp5dz2ef3r73jq9z4yt7g5,North Alabama Lions
par_01hqmkr2gaeqjbqdwbf4vs7bzn,North Carolina A&T Aggies
par_01hqmkr2gbeks8k9fraeed72r3,North Carolina Central Eagles
par_01hqmkr2gcf1v8stp0x42t01vd,North Carolina Tar Heels
par_01hqmkr2gdea3tyj94de4sm8gp,North Dakota Fighting Hawks
par_01hqmkr2geeqfrhzdh7jk1303e,North Dakota State Bison
par_01hqmkr2gfenxvr1ebc7enc6w0,North Texas Mean Green
par_01hqmkr2ggfea8p9cztdezea9e,Northern Arizona Lumberjacks
par_01hqmkr2ghfshsz0m9sbedrvgc,Northern Colorado Bears
par_01hqmkr2gjf94ra4nsj18kmfwx,Northern Illinois Huskies
par_01hqmkr2gke1naebcg54ajnprp,Northern Iowa Panthers
par_01hqmkr2gmfagrzba888g3s4jb,Northwestern State Demons
par_01hqmkr2gneqrb6749sc5q47t5,Northwestern Wildcats
par_01hqmkr2gpfcvsjkmz4mh3qnsh,Notre Dame Fighting Irish
par_01j6gp5dz3e01tmz9x1tfchgck,Occidental Tigers
par_01hqmkr2gqfe1brkcakx2w2hs2,Ohio Bobcats
par_01hqmkr2grex7ahyqjr06nfcpr,Ohio State Buckeyes
par_01hqmkr2gsezragwjgzkvhabs7,Oklahoma Sooners
par_01hqmkr2gtfvy8rjbktr154ft7,Oklahoma State Cowboys
par_01hqmkr2gven2trj27t9zwdnkt,Old Dominion Monarchs
par_01hqmkr2gwezts6hdfddx5nwjk,Ole Miss Rebels
par_01hqmkr2gxfzaa8j81pf7vb2yr,Oregon Ducks
par_01hqmkr2gyem0a082a78a8dq9v,Oregon State Beavers
par_01hqmkr2gzf4bs5cr8h1xc3xk7,Penn State Nittany Lions
par_01hqmkr2h0fvarnyftdxe77bwa,Pennsylvania Quakers
par_01hqmkr2h1e41br4sbx376bxhs,Pittsburgh Panthers
par_01hqmkr2h2ebzac1hrwy6pb0a9,Portland State Vikings
par_01hqmkr2h3f3g8bbhf0dw38mz4,Prairie View A&M Panthers
par_01hqmkr2h4f7w9qn5h6af70jkp,Presbyterian College Blue Hose
par_01hqmkr2h5fgtb161fe1thxf4f,Princeton Tigers
par_01hqmkr2h6frbax6pmzk8fwypn,Purdue Boilermakers
par_01hqmkr2h7e3zrz03k91xyrfpp,Rhode Island Rams
par_01hqmkr2h8f1b9d8wdfns0tqc3,Rice Owls
par_01hqmkr2h9ecm92x2anp78k2y7,Richmond Spiders
par_01hqmkr2haermrqwvb26bnf5b1,Robert Morris Colonials
par_01hqmkr2hbfz2bfswh49pdx03h,Rutgers Scarlet Knights
par_01hqmkr2hcfqpstbw33a07k18b,SMU Mustangs
par_01hqmkr2hdem3sz28v5dds05te,Sacramento State Hornets
par_01hqmkr2heft0vgvvv2gpzeach,Sacred Heart Pioneers
par_01hqmkr2hffpdrjxadkz42ppw5,Sam Houston State Bearkats
par_01hqmkr2hgeb0846q787h65j6j,Samford Bulldogs
par_01hqmkr2hhehdttrcgv6ekzszd,San Diego State Aztecs
par_01hqmkr2hjeqxbpm5r54dxhrrw,San Diego Toreros
par_01hqmkr2hkfmzsf7mhhg5gb33d,San Jose State Spartans
par_01hqmkr2hmf6r9nzk4hebygy2b,Savannah State Tigers
par_01hqmkr2hnfdxsb91dzrmwfvyr,South Alabama Jaguars
par_01hqmkr2hpfvxsygyfnkpd0pq9,South Carolina Gamecocks
par_01hqmkr2hqffgvyyk1ecjqxgyp,South Carolina State Bulldogs
par_01hqmkr2hrfrk93zeszqy3asbv,South Dakota Coyotes
par_01hqmkr2hsedw94ap6hj02acds,South Dakota State Jackrabbits
par_01hqmkr2htf91rm9jvn57cwsqq,South Florida Bulls
par_01hqmkr2hvf5gv4g72z8ek44dk,Southeast Missouri State Redhawks
par_01hqmkr2hwf998dcrj2nw1cmgt,Southeastern Louisiana Lions
par_01hqmkr2hxf4nsczhgybt4w0y1,Southern Illinois Salukis
par_01hqmkr2hyf3tbzganmmz9kby9,Southern Mississippi Golden Eagles
par_01hqmkr2hzeggs1fy0tr81c31b,Southern University Jaguars
par_01hqmkr2j0e8g87ng3h82zqzt0,Southern Utah Thunderbirds
par_01hqmkr2j1e5ztpspp1qdatg87,St. Francis (PA) Red Flash
par_01k3wnsxe0fm2a3t9m4c58m8hz,St. Thomas (MN) Tommies
par_01hqmkr2j2fjety117cwkwer04,Stanford Cardinal
par_01j6gp5dz8fy9af1my59qcg08g,Stephen F. Austin Lumberjacks
par_01hqmkr2j3f4etje2pex7n7jm9,Stetson Hatters
par_01k3wnsxe2e04vaac75stbg6zm,Stonehill Skyhawks
par_01hqmkr2j4fh4tz4qvbje4k9c7,Stony Brook Seawolves
par_01hqmkr2j5fbdagnja04bx3byc,Syracuse Orange
par_01hqmkr2j6emwv9nr4ycvjcnbs,TCU Horned Frogs
par_01j6gp5dz4fa38ee1qm60pcmsz,Tarleton State Texans
par_01hqmkr2j7f6jrf5emg1y09s6p,Temple Owls
par_01hqmkr2j8e07t34w0ahzzkkc7,Tennessee State Tigers
par_01hqmkr2j9fkjr4n7qs3jrkn6e,Tennessee Tech Golden Eagles
par_01hqmkr2jae6na0v519gjm9q9b,Tennessee Volunteers
par_01hqmkr2jbfwmsgbbzss4f4rrp,Texas A&M Aggies
par_01hqmkr2jde19td0j9ksjv0z5k,Texas Longhorns
par_01hqmkr2jefgn8w3ambtg4syfd,Texas Southern Tigers
par_01hqmkr2jffzzv7d4tphyftx7e,Texas State Bobcats
par_01hqmkr2jgepz9bx1bcjka55m1,Texas Tech Red Raiders
par_01hqmkr2jhe00vnd66demmm6k1,Toledo Rockets
par_01hqmkr2jje37vbnkk42t1yzvp,Towson Tigers
par_01hqmkr2jketn9e8k27nk1b4p5,Troy Trojans
par_01hqmkr2jmewztzg73x4a39530,Tulane Green Wave
par_01hqmkr2jnfqwv2tjchpa01bzv,Tulsa Golden Hurricane
par_01hqmkr2jpea1a5k0hpwc9qngq,UAB Blazers
par_01hqmkr2jqfdca2wa15z539zrw,UC Davis Aggies
par_01hqmkr2jrfvg8ceexct1sbkgx,UCF Knights
par_01hqmkr2jsed1rvjdy2bxzz0sd,UCLA Bruins
par_01hqmkr2jteyp94q873hs7xd4b,UConn Huskies
par_01hqmkr2jveaesysqemde06nep,UL Monroe Warhawks
par_01hqmkr2jwemesyt4amdtgq2wb,UMass Minutemen
par_01hqmkr2jxem0rdgyfbckwa611,UNLV Rebels
par_01hqmkr2jyf0xb3g282ddm9gjn,USC Trojans
par_01hqmkr2jzeawtrmmd333t0nga,UT Martin Skyhawks
par_01k49ngvcnehfsfe0pasbyrjmr,UT Rio Grande Valley Vaqueros
par_01hqmkr2k0fjxv6cjwb9j6dpds,UTEP Miners
par_01hqmkr2k1fnwtfm0hcaxm928z,UTSA Roadrunners
par_01hqmkr2k2frts2aqztas39w6d,Utah State Aggies
par_01hqmkr2k3efp9cq1dhmaakmmr,Utah Tech Trailblazers
par_01hqmkr2k4e6mrb4f7kj54rcd2,Utah Utes
par_01hqmkr2k5ffwrgf804ejj4paw,VMI Keydets
par_01hqmkr2k6fcvr3377f77tp9br,Valparaiso Beacons
par_01hqmkr2k7f8ksrb7fqw7g81g9,Vanderbilt Commodores
par_01hqmkr2k8e9t912xj54sy7p1q,Villanova Wildcats
par_01hqmkr2k9edpbevdc3fgmd6n7,Virginia Cavaliers
par_01hqmkr2kafdt8mg973a6kztm3,Virginia Tech Hokies
par_01hqmkr2kbe1drh5z3h95et5fs,Wagner Seahawks
par_01hqmkr2kcem6vr8c4h9608c8b,Wake Forest Demon Deacons
par_01hqmkr2kdeeyv02ttcappmas9,Washington Huskies
par_01hqmkr2kee6c9venjvfcbaqxr,Washington State Cougars
par_01j6gcpntxe6trypa8c8gyds30,Weber State Wildcats
par_01k49ngvcmerm82m8c76tnkcfc,West Georgia Wolves
par_01hqmkr2kffbtbwtyr0arxv9qq,West Virginia Mountaineers
par_01hqmkr2kgf0xrdj4mj20gka78,Western Carolina Catamounts
par_01hqmkr2khep2ths75prve9p8p,Western Illinois Leathernecks
par_01hqmkr2kjeegvcye6rygdrtzk,Western Kentucky Hilltoppers
par_01hqmkr2kkf5bsvp0ek56ky1ts,Western Michigan Broncos
par_01hqmkr2kmfaftzy9s5xyr19zn,William and Mary Tribe
par_01hqmkr2knf3jveyk5ke1sd7mr,Wingate Bulldogs
par_01hqmkr2kpf148kx5sra1set9r,Wisconsin Badgers
par_01j6gp5dz9fkxb3bpn57sj8h98,Wisconsin-Whitewater Warhawks
par_01hqmkr2kqfkkv1hrd1kx3wphw,Wofford Terriers
par_01hqmkr2kre0vvjx5e3anbs2dg,Wyoming Cowboys
par_01hqmkr2kseggane1a6p45qsqq,Yale University Bulldogs
par_01hqmkr2kte08app1gjph42xez,Youngstown St Penguins
par_01hqmkr1xsfxmrj5pdq0f23asx,Arizona Cardinals
par_01hqmkr1xtexkbhkq7ct921rne,Atlanta Falcons
par_01hqmkr1xvev9rf557fy09k2cx,Baltimore Ravens
par_01hqmkr1xwe6prjwr3j4gpqwx8,Buffalo Bills
par_01hqmkr1xxf2ebbqzb95qzxxxm,Carolina Panthers
par_01hqmkr1xye20ahvp8fr2bvt74,Chicago Bears
par_01hqmkr1xze7xbceshy9tka512,Cincinnati Bengals
par_01hqmkr1y0ez5bem3gdncd8a0d,Cleveland Browns
par_01hqmkr1y1esas88pmaxe87by4,Dallas Cowboys
par_01hqmkr1y2e15tjsz9afcsj7da,Denver Broncos
par_01hqmkr1y3fex9sq94dgg1107y,Detroit Lions
par_01hqmkr1y4ez38hyananses4hq,Green Bay Packers
par_01hqmkr1y5f63reha26n71p2jx,Houston Texans
par_01hqmkr1y6f10rxbf8y2y2xthh,Indianapolis Colts
par_01hqmkr1y7e2r9kcn2qe0dt1d5,Jacksonville Jaguars
par_01hqmkr1y8e9gt2q2rhmv196pv,Kansas City Chiefs
par_01hqmkr1y9fkaaeekn9w035jft,Las Vegas Raiders
par_01hqmkr1yafvas6wtv3jfs9f7a,Los Angeles Chargers
par_01hqmkr1ybfmfb8mhz10drfe21,Los Angeles Rams
par_01hqmkr1ycf7dsbr1997gz03y9,Miami Dolphins
par_01hqmkr1ydf6vrfmd5f07caj88,Minnesota Vikings
par_01hqmkr1yeffz9y9spwv8bx3na,New England Patriots
par_01hqmkr1yfe62tp0rvy8bn2jyc,New Orleans Saints
par_01hqmkr1ygfzrv5sqe2v97c43e,New York Giants
par_01hqmkr1yhe4sb3y0wfzga67tf,New York Jets
par_01hqmkr1yjedgakx37g743855e,Philadelphia Eagles
par_01hqmkr1yker5bwcznt0b1jpj1,Pittsburgh Steelers
par_01hqmkr1ymfv0a8kfg96ha10ag,San Francisco 49ers
par_01hqmkr1ynfwaa91y9zvagkavd,Seattle Seahawks
par_01hqmkr1ypeszan8sq8dh7rqbg,Tampa Bay Buccaneers
par_01hqmkr1yqexebpc06vyfwxqqm,Tennessee Titans
par_01hqmkr1yrfsvbjjasn01a7xz4,Washington Commanders
par_01hqmkqvq1f4v843e199g0yd65,Adelaide Crows
par_01hqmkqvq2enx9g9m3jn8r5b6r,Brisbane Lions
par_01hqmkqvq3fv1815t7vrme2jrw,Carlton Blues
par_01hqmkqvq4fkw9k48z9qkyh5mw,Collingwood Magpies
par_01hqmkqvq5eh58njt45pme1cyw,Essendon Bombers
par_01hqmkqvq6e0g9wn0c8snfttvz,Fremantle Dockers
par_01hqmkqvq7ez1aavj0mbgceme8,Geelong Cats
par_01hqmkqvq8ebabj5aamyjhz40d,Gold Coast Suns
par_01hqmkqvq9fbh9frmyc4xrenyn,Greater Western Sydney Giants
par_01hqmkqvqafx5t93pz0m5x3be2,Hawthorn Hawks
par_01hqmkqvqbezqvgxg4c2snhx1n,Melbourne Demons
par_01hqmkqvqcef49gdn2g8cr0e8m,North Melbourne Kangaroos
par_01hqmkqvqdf369jrfbcx9ea0rb,Port Adelaide Power
par_01hqmkqvqef1kavpr63zgwrt4w,Richmond Tigers
par_01hqmkqvqffm2bgn08dpxfzkkz,St Kilda Saints
par_01hqmkqvqge2yr5fg4123hxqak,Sydney Swans
par_01hqmkqvqheb19heyaha06by18,West Coast Eagles
par_01hqmkqvqjf8xap21t4xw8ex98,Western Bulldogs
par_01hqmkrdvzegz8hbn4xpz2ja7p,American League
par_01hqmkrdw0fn28675jydfxxfwn,Arizona Diamondbacks
par_01hqmkrdwmeba8n6jxwetryhk7,Athletics
par_01hqmkrdw1f3ma6f606jcfz6ax,Atlanta Braves
par_01hqmkrdw2ey5sm4v3924da7ec,Baltimore Orioles
par_01hqmkrdw3e9fr76tt7m3bns4m,Boston Red Sox
par_01hqmkrdw4frbt04kwb6z2exvr,Chicago Cubs
par_01hqmkrdw5ezqtm9np3kavr1py,Chicago White Sox
par_01hqmkrdw6fekahgy3j7ndevq4,Cincinnati Reds
par_01hqmkrdw7e92rp1xj0h53tgtg,Cleveland Guardians
par_01hqmkrdw8end82x3xb2fhehv3,Colorado Rockies
par_01hqmkrdw9fspanamf83tq59ax,Detroit Tigers
par_01hqmkrdwaebprg6k94kc3f7z5,Houston Astros
par_01hqmkrdwbfyhbre77gx6mgyfc,Kansas City Royals
par_01hqmkrdwce34s2bm9drh78xqe,Los Angeles Angels
par_01hqmkrdwdevbrzmkvf1gfsn5g,Los Angeles Dodgers
par_01hqmkrdweewjaqv7tj573a2fj,Miami Marlins
par_01hqmkrdwfecjscs9zecbc5xhd,Milwaukee Brewers
par_01hqmkrdwgfpvb3reb59xtp0sa,Minnesota Twins
par_01hqmkrdwhexxvtna2ywkjzwzg,National League
par_01hqmkrdwjf8jrcxq2twptkdy1,New York Mets
par_01hqmkrdwke59s2wa1r1bpwvj5,New York Yankees
par_01hqmkrdwnedzacd3r40hyrnxg,Philadelphia Phillies
par_01hqmkrdwpfmnbebtxvpfv1a7z,Pittsburgh Pirates
par_01hqmkrdwqew5vtmpr3tbxa8gd,San Diego Padres
par_01hqmkrdwrex5b7e8x18zv15pg,San Francisco Giants
par_01hqmkrdwse0qawha9hvcjkjf4,Seattle Mariners
par_01hqmkrdwtev1bxvy5y0yhvyyj,St. Louis Cardinals
par_01hqmkrdwvfed94w1vd601r5wt,Tampa Bay Rays
par_01hqmkrdwwfvssvhjx9f6rw2r8,Texas Rangers
par_01hqmkrdwxfhabkjbbbk4by03r,Toronto Blue Jays
par_01hqmkrdwyfdftwzgjyp2sevr4,Washington Nationals
par_01hqmkqkrqfkw9jrgz1cqzt9sj,ALBA Berlin
par_01hqmkqkrre0vs6tjkrwda7yzf,AS Monaco
par_01hqmkqkrsecmvmy0t1w0494at,ASVEL Lyon Villeurbanne
par_01hqmkqkrtea8rwbg8nbcyxrss,Anadolu Efes
par_01hqmkqkrvf5xsf44evagzvqpc,BC Khimki
par_01hqmkqkrwe0es5k0pxty8tvdm,CSKA Moscow
par_01k5k4d0z7eed88jmet9vhptz4,Dubai Basketball
par_01hqmkqkrxfz6aat3kkaemxw8r,FC Barcelona Bàsquet
par_01hqmkqkryfh3v9ktzqff4xv55,FC Bayern München
par_01hqmkqkrzewh99vdgezg1m02p,Fenerbahce SK
par_01k5gbynn3f1ma44hpdzrz6wy4,Hapoel Tel Aviv
par_01hqmkqks0ec8rfy7qgzsva8k5,KK Crvena zvezda
par_01hqmkqks1efdtttfrnh3gkndd,KK Partizan NIS
par_01hqmkqks2fatsb74wj39qvcj0,Maccabi Tel Aviv
par_01hqmkqks3e2vtgsdhj1z0fety,Olympiacos
par_01hqmkqks4fgy96sqp3dsvp019,Pallacanestro Olimpia Milano
par_01hqmkqks5eagbrnmpvj8jrwm2,Panathinaikos
par_01j8pc6869eppafp7gqb0s9dz6,Paris Basketball
par_01hqmkqks6empaf7bywk00zgkz,Real Madrid
par_01hqmkqks7fprvw3fre1r17a84,Saski Baskonia
par_01hqmkqks8ec5tgah5pc436cpe,Unics Kazan
par_01hqmkqks9ew49rb5vg7d60cr5,Valencia Basket
par_01hqmkqksafas9m2jkqaz45a3w,Virtus Segafredo Bologna
par_01hqmkqksbfdcrq6avrwrqt9je,Zenit Saint Petersburg
par_01hqmkqkscekd8kmx2sxn8x74h,Žalgiris
par_01hqmkq6fceknv7cwebesgrx03,Atlanta Hawks
par_01hqmkq6fdf1pvq7jgdd7hdmpf,Boston Celtics
par_01hqmkq6fefp3r8597cv3wj3cr,Brooklyn Nets
par_01hqmkq6fffqq9gze9hqf1fwn6,Charlotte Hornets
par_01hqmkq6fgf7krk5evvjfy9mr1,Chicago Bulls
par_01hqmkq6fhec0t7bezwtzqv0fq,Cleveland Cavaliers
par_01hqmkq6fje5rrsbnbx97seg30,Dallas Mavericks
par_01hqmkq6fkf9r8wh7303b8hy40,Denver Nuggets
par_01hqmkq6fmfyjsnjtexnh7vdwm,Detroit Pistons
